t, torque1, torque2, torque3, torque4, torque5, torque6, torque7, q1, q2, q3, q4, q5, q6, q7
14.144, 2.49684239151, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.213223329516, -0.0582912699397, -0.0368155389093, -0.10891263594, -0.013805827091, -0.013805827091, -0.00460194236366
14.148, 2.49771849456, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.21015536794, -0.0567572891518, -0.0322135965456, -0.107378655152, -0.0184077694546, -0.0107378655152, -0.00306796157577
14.152, 2.49845260568, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.205553425577, -0.0567572891518, -0.0352815581214, -0.116582539879, -0.0184077694546, -0.013805827091, 0.00153398078789
14.156, 2.49904468314, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.199417502425, -0.0552233083639, -0.0306796157577, -0.119650501455, -0.0168737886667, -0.013805827091, 0.00153398078789
14.16, 2.49949469328, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.193281579274, -0.0521553467881, -0.0368155389093, -0.119650501455, -0.0184077694546, -0.0168737886667, -0.00460194236366
14.164, 2.49980261051, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.193281579274, -0.0567572891518, -0.0352815581214, -0.121184482243, -0.0184077694546, -0.0199417502425, -0.00460194236366
14.168, 2.49996841733, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.187145656122, -0.0567572891518, -0.0368155389093, -0.124252443819, -0.0199417502425, -0.0168737886667, 0.00153398078789
14.172, 2.49999210432, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.184077694546, -0.0582912699397, -0.0322135965456, -0.125786424607, -0.013805827091, -0.0245436926062, -0.00153398078789
14.176, 2.49987367013, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.181009732971, -0.0567572891518, -0.0291456349698, -0.127320405395, -0.0184077694546, -0.0199417502425, -0.00306796157577
14.18, 2.49961312149, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.177941771395, -0.053689327576, -0.0337475773335, -0.13038836697, -0.0184077694546, -0.0260776733941, -0.00306796157577
14.184, 2.49921047321, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.174873809819, -0.053689327576, -0.0306796157577, -0.13038836697, -0.0168737886667, -0.0276116541819, -0.00306796157577
14.188, 2.49866574818, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.164135944304, -0.0598252507275, -0.0306796157577, -0.134990309334, -0.0122718463031, -0.0306796157577, -0.00153398078789
14.192, 2.49797897738, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.165669925092, -0.053689327576, -0.0352815581214, -0.141126232485, -0.0184077694546, -0.0276116541819, -0.00306796157577
14.196, 2.49715019984, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.15953400194, -0.053689327576, -0.0352815581214, -0.13805827091, -0.0122718463031, -0.0291456349698, 0.0
14.2, 2.49617946267, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.154932059576, -0.053689327576, -0.0291456349698, -0.139592251698, -0.0153398078789, -0.0291456349698, -0.00153398078789
14.204, 2.49506682107, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.154932059576, -0.0582912699397, -0.0337475773335, -0.144194194061, -0.0168737886667, -0.0368155389093, 0.0
14.208, 2.49381233828, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.150330117213, -0.0582912699397, -0.0337475773335, -0.145728174849, -0.0184077694546, -0.0368155389093, 0.0
14.212, 2.49241608563, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.145728174849, -0.0567572891518, -0.0306796157577, -0.148796136425, -0.013805827091, -0.039883500485, -0.00153398078789
14.216, 2.49087814247, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.13805827091, -0.053689327576, -0.0306796157577, -0.148796136425, -0.0184077694546, -0.0368155389093, 0.0
14.22, 2.48919859626, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.13805827091, -0.053689327576, -0.0306796157577, -0.151864098001, -0.0153398078789, -0.0414174812729, -0.00306796157577
14.224, 2.48737754245, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.131922347758, -0.0552233083639, -0.0337475773335, -0.156466040364, -0.0122718463031, -0.039883500485, 0.0
14.228, 2.48541508459, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.13038836697, -0.0598252507275, -0.0291456349698, -0.15953400194, -0.013805827091, -0.0429514620608, -0.00306796157577
14.232, 2.48331133423, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.124252443819, -0.0582912699397, -0.0306796157577, -0.15953400194, -0.0184077694546, -0.0475534044245, -0.00153398078789
14.236, 2.48106641097, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.118116520667, -0.053689327576, -0.0337475773335, -0.165669925092, -0.0168737886667, -0.0460194236366, 0.0
14.24, 2.47868044243, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.116582539879, -0.053689327576, -0.0306796157577, -0.162601963516, -0.0153398078789, -0.0460194236366, -0.00153398078789
14.244, 2.47615356424, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.107378655152, -0.0567572891518, -0.0276116541819, -0.165669925092, -0.0184077694546, -0.0460194236366, -0.00306796157577
14.248, 2.47348592007, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.107378655152, -0.0598252507275, -0.0276116541819, -0.16720390588, -0.013805827091, -0.0490873852123, -0.00460194236366
14.252, 2.47067766155, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.102776712788, -0.0567572891518, -0.0306796157577, -0.173339829031, -0.0122718463031, -0.0552233083639, 0.00153398078789
14.256, 2.46772894834, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0966407896368, -0.0598252507275, -0.0322135965456, -0.170271867455, -0.0122718463031, -0.0567572891518, -0.00153398078789
14.26, 2.46463994806, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.093572828061, -0.0582912699397, -0.0291456349698, -0.179475752183, -0.0153398078789, -0.0552233083639, -0.00153398078789
14.264, 2.46141083632, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0859029241216, -0.0598252507275, -0.0322135965456, -0.179475752183, -0.013805827091, -0.0582912699397, -0.00153398078789
14.268, 2.4580417967, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0889708856974, -0.0582912699397, -0.0322135965456, -0.176407790607, -0.0122718463031, -0.0613592315154, -0.00306796157577
14.272, 2.45453302071, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0782330201822, -0.0582912699397, -0.0306796157577, -0.184077694546, -0.0168737886667, -0.0613592315154, -0.00306796157577
14.276, 2.45088470783, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0797670009701, -0.0582912699397, -0.0322135965456, -0.182543713758, -0.0168737886667, -0.0628932123033, 0.00153398078789
14.28, 2.44709706546, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0736310778185, -0.0552233083639, -0.0306796157577, -0.18867963691, -0.013805827091, -0.0628932123033, -0.00460194236366
14.284, 2.44317030892, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.067495154667, -0.0567572891518, -0.0306796157577, -0.191747598486, -0.0122718463031, -0.0644271930912, -0.00153398078789
14.288, 2.43910466144, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0644271930912, -0.053689327576, -0.0260776733941, -0.187145656122, -0.013805827091, -0.0644271930912, -0.00153398078789
14.292, 2.43490035415, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0567572891518, -0.0552233083639, -0.0322135965456, -0.194815560061, -0.013805827091, -0.067495154667, 0.0
14.296, 2.43055762605, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0567572891518, -0.053689327576, -0.0276116541819, -0.196349540849, -0.013805827091, -0.067495154667, 0.0
14.3, 2.42607672403, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0490873852123, -0.0598252507275, -0.0260776733941, -0.197883521637, -0.013805827091, -0.0720970970306, -0.00306796157577
14.304, 2.42145790282, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0490873852123, -0.0567572891518, -0.0245436926062, -0.202485464001, -0.0122718463031, -0.0751650586064, -0.00306796157577
14.308, 2.41670142499, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0444854428487, -0.0582912699397, -0.0306796157577, -0.199417502425, -0.0107378655152, -0.0736310778185, 0.0
14.312, 2.41180756095, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0383495196971, -0.0552233083639, -0.0260776733941, -0.204019444789, -0.0122718463031, -0.0720970970306, 0.0
14.316, 2.40677658889, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0368155389093, -0.053689327576, -0.0291456349698, -0.208621387152, -0.0122718463031, -0.0720970970306, 0.00153398078789
14.32, 2.40160879483, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0276116541819, -0.053689327576, -0.0291456349698, -0.205553425577, -0.0153398078789, -0.0766990393943, 0.00153398078789
14.324, 2.39630447254, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0230097118183, -0.0567572891518, -0.0260776733941, -0.21015536794, -0.0122718463031, -0.0751650586064, 0.0
14.328, 2.39086392358, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0184077694546, -0.0582912699397, -0.0245436926062, -0.213223329516, -0.0107378655152, -0.0797670009701, -0.00153398078789
14.332, 2.38528745723, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0184077694546, -0.0582912699397, -0.0260776733941, -0.213223329516, -0.0107378655152, -0.0782330201822, -0.00306796157577
14.336, 2.3795753905, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.013805827091, -0.053689327576, -0.0291456349698, -0.213223329516, -0.0122718463031, -0.0797670009701, -0.00306796157577
14.34, 2.37372804811, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0122718463031, -0.053689327576, -0.0306796157577, -0.214757310304, -0.0122718463031, -0.0859029241216, 0.00153398078789
14.344, 2.36774576249, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.00613592315154, -0.0567572891518, -0.0260776733941, -0.222427214243, -0.0122718463031, -0.0874369049095, -0.00460194236366
14.348, 2.36162887371, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.00153398078789, -0.053689327576, -0.0276116541819, -0.222427214243, -0.013805827091, -0.0843689433337, 0.0
14.352, 2.35537772951, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00460194236366, -0.0552233083639, -0.0291456349698, -0.225495175819, -0.0153398078789, -0.0859029241216, -0.00153398078789
14.356, 2.34899268527, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0107378655152, -0.0598252507275, -0.0230097118183, -0.223961195031, -0.0107378655152, -0.093572828061, 0.00153398078789
14.36, 2.34247410395, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0107378655152, -0.0552233083639, -0.0260776733941, -0.223961195031, -0.0122718463031, -0.0951068088489, -0.00153398078789
14.364, 2.33582235614, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0199417502425, -0.053689327576, -0.0245436926062, -0.225495175819, -0.013805827091, -0.0905048664853, 0.0
14.368, 2.32903781998, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0199417502425, -0.053689327576, -0.0230097118183, -0.233165079759, -0.013805827091, -0.0920388472731, 0.00153398078789
14.372, 2.32212088116, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0276116541819, -0.0598252507275, -0.0230097118183, -0.233165079759, -0.013805827091, -0.0951068088489, 0.00153398078789
14.376, 2.3150719329, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0291456349698, -0.0598252507275, -0.0291456349698, -0.234699060547, -0.0153398078789, -0.0951068088489, 0.00153398078789
